NUM_WEEK,NUM_YEAR,ID_WORKER,TYPE
29,2014,134,depot
30,2014,134,depot
31,2014,134,depot
32,2014,134,depot
33,2014,134,depot
34,2014,134,depot
35,2014,134,depot
36,2014,134,depot
26,2014,137,cagnes
27,2014,137,cagnes
28,2014,137,cagnes
29,2014,137,cagnes
30,2014,137,cagnes
31,2014,137,cagnes
32,2014,137,cagnes
33,2014,137,cagnes
34,2014,137,cagnes
35,2014,137,cagnes
36,2014,137,cagnes
26,2014,139,cagnes
27,2014,139,cagnes
28,2014,139,cagnes
29,2014,139,cagnes
30,2014,139,cagnes
31,2014,139,cagnes
32,2014,139,cagnes
33,2014,139,cagnes
34,2014,139,cagnes
35,2014,139,cagnes
36,2014,139,cagnes
26,2014,140,cagnes
27,2014,140,cagnes
28,2014,140,cagnes
29,2014,140,cagnes
30,2014,140,cagnes
31,2014,140,cagnes
32,2014,140,cagnes
33,2014,140,cagnes
34,2014,140,cagnes
35,2014,140,cagnes
36,2014,140,cagnes
26,2014,142,cagnes
27,2014,142,cagnes
28,2014,142,cagnes
29,2014,142,cagnes
30,2014,142,cagnes
31,2014,142,cagnes
32,2014,142,cagnes
33,2014,142,cagnes
34,2014,142,cagnes
35,2014,142,cagnes
36,2014,142,cagnes
26,2014,143,depot
27,2014,143,depot
28,2014,143,depot
29,2014,143,depot
30,2014,143,depot
31,2014,143,depot
32,2014,143,depot
33,2014,143,depot
34,2014,143,depot
35,2014,143,depot
36,2014,143,depot
26,2014,145,cagnes
27,2014,145,cagnes
28,2014,145,cagnes
29,2014,145,cagnes
30,2014,145,cagnes
31,2014,145,cagnes
32,2014,145,cagnes
33,2014,145,cagnes
34,2014,145,cagnes
35,2014,145,cagnes
36,2014,145,cagnes
26,2014,146,cagnes
27,2014,146,cagnes
28,2014,146,cagnes
29,2014,146,cagnes
30,2014,146,cagnes
31,2014,146,cagnes
32,2014,146,cagnes
33,2014,146,cagnes
34,2014,146,cagnes
35,2014,146,cagnes
36,2014,146,cagnes
35,2014,148,congés
36,2014,148,congés
26,2014,149,cagnes
27,2014,149,cagnes
28,2014,149,cagnes
29,2014,149,cagnes
30,2014,149,cagnes
31,2014,149,cagnes
32,2014,149,cagnes
33,2014,149,cagnes
34,2014,149,cagnes
35,2014,149,cagnes
36,2014,149,cagnes
26,2014,151,dépot
27,2014,151,dépot
28,2014,151,dépot
29,2014,151,dépot
30,2014,151,dépot
31,2014,151,dépot
32,2014,151,dépot
33,2014,151,dépot
34,2014,151,dépot
35,2014,151,dépot
36,2014,151,dépot
26,2014,153,cagnes
27,2014,153,cagnes
28,2014,153,cagnes
29,2014,153,cagnes
30,2014,153,cagnes
31,2014,153,cagnes
32,2014,153,cagnes
33,2014,153,cagnes
34,2014,153,cagnes
35,2014,153,cagnes
36,2014,153,cagnes
26,2014,154,"Maladie / AT"
27,2014,154,"Maladie / AT"
28,2014,154,"Maladie / AT"
29,2014,154,"Maladie / AT"
30,2014,154,"Maladie / AT"
31,2014,154,"Maladie / AT"
32,2014,154,"Maladie / AT"
33,2014,154,"Maladie / AT"
34,2014,154,"Maladie / AT"
35,2014,154,"Maladie / AT"
36,2014,154,"Maladie / AT"
26,2014,156,depot
27,2014,156,depot
28,2014,156,depot
29,2014,156,depot
30,2014,156,depot
31,2014,156,depot
32,2014,156,depot
33,2014,156,depot
34,2014,156,depot
35,2014,156,depot
36,2014,156,depot
26,2014,157,cagnes
27,2014,157,cagnes
28,2014,157,cagnes
29,2014,157,cagnes
30,2014,157,cagnes
31,2014,157,cagnes
32,2014,157,cagnes
33,2014,157,cagnes
34,2014,157,cagnes
35,2014,157,cagnes
36,2014,157,cagnes
26,2014,158,depot
27,2014,158,depot
28,2014,158,depot
29,2014,158,depot
30,2014,158,depot
31,2014,158,depot
32,2014,158,depot
33,2014,158,depot
34,2014,158,depot
35,2014,158,depot
36,2014,158,depot
26,2014,160,cagnes
27,2014,160,cagnes
28,2014,160,cagnes
29,2014,160,cagnes
30,2014,160,cagnes
31,2014,160,cagnes
32,2014,160,cagnes
33,2014,160,cagnes
34,2014,160,cagnes
35,2014,160,cagnes
36,2014,160,cagnes
26,2014,161,cagnes
27,2014,161,cagnes
28,2014,161,cagnes
29,2014,161,cagnes
30,2014,161,cagnes
31,2014,161,cagnes
32,2014,161,cagnes
33,2014,161,cagnes
34,2014,161,cagnes
35,2014,161,cagnes
36,2014,161,cagnes
26,2014,163,cagnes
27,2014,163,cagnes
28,2014,163,cagnes
29,2014,163,cagnes
30,2014,163,cagnes
31,2014,163,cagnes
32,2014,163,cagnes
33,2014,163,cagnes
34,2014,163,cagnes
35,2014,163,cagnes
36,2014,163,cagnes
26,2014,164,cagnes
27,2014,164,cagnes
28,2014,164,cagnes
29,2014,164,cagnes
30,2014,164,cagnes
31,2014,164,cagnes
32,2014,164,cagnes
33,2014,164,cagnes
34,2014,164,cagnes
35,2014,164,cagnes
36,2014,164,cagnes
26,2014,165,cagnes
27,2014,165,cagnes
28,2014,165,cagnes
29,2014,165,cagnes
30,2014,165,cagnes
31,2014,165,cagnes
32,2014,165,cagnes
33,2014,165,cagnes
34,2014,165,cagnes
35,2014,165,cagnes
36,2014,165,cagnes
26,2014,171,depot
27,2014,171,depot
28,2014,171,depot
29,2014,171,depot
30,2014,171,depot
31,2014,171,depot
32,2014,171,depot
33,2014,171,depot
34,2014,171,depot
35,2014,171,depot
36,2014,171,depot
26,2014,172,cagnes
27,2014,172,cagnes
28,2014,172,cagnes
29,2014,172,cagnes
30,2014,172,cagnes
31,2014,172,cagnes
32,2014,172,cagnes
33,2014,172,cagnes
34,2014,172,cagnes
35,2014,172,cagnes
36,2014,172,cagnes
26,2014,173,cagnes
27,2014,173,cagnes
28,2014,173,cagnes
29,2014,173,cagnes
30,2014,173,cagnes
31,2014,173,cagnes
32,2014,173,cagnes
33,2014,173,cagnes
34,2014,173,cagnes
35,2014,173,cagnes
36,2014,173,cagnes
26,2014,174,cagnes
27,2014,174,cagnes
28,2014,174,cagnes
29,2014,174,cagnes
30,2014,174,cagnes
31,2014,174,cagnes
32,2014,174,cagnes
33,2014,174,cagnes
34,2014,174,cagnes
35,2014,174,cagnes
36,2014,174,cagnes
26,2014,176,cagnes
27,2014,176,cagnes
28,2014,176,cagnes
29,2014,176,cagnes
30,2014,176,cagnes
31,2014,176,cagnes
32,2014,176,cagnes
33,2014,176,cagnes
34,2014,176,cagnes
35,2014,176,cagnes
36,2014,176,cagnes
26,2014,178,cagnes
27,2014,178,cagnes
28,2014,178,cagnes
29,2014,178,cagnes
30,2014,178,cagnes
31,2014,178,cagnes
32,2014,178,cagnes
33,2014,178,cagnes
34,2014,178,cagnes
35,2014,178,cagnes
36,2014,178,cagnes
26,2014,179,"Maladie / AT"
27,2014,179,"Maladie / AT"
28,2014,179,"Maladie / AT"
29,2014,179,"Maladie / AT"
30,2014,179,"Maladie / AT"
31,2014,179,"Maladie / AT"
32,2014,179,"Maladie / AT"
33,2014,179,"Maladie / AT"
34,2014,179,"Maladie / AT"
35,2014,179,"Maladie / AT"
36,2014,179,"Maladie / AT"
26,2014,183,cagnes
27,2014,183,cagnes
28,2014,183,cagnes
29,2014,183,cagnes
30,2014,183,cagnes
31,2014,183,cagnes
32,2014,183,cagnes
33,2014,183,cagnes
34,2014,183,cagnes
35,2014,183,cagnes
36,2014,183,cagnes
26,2014,184,depot
27,2014,184,depot
28,2014,184,depot
29,2014,184,depot
30,2014,184,depot
31,2014,184,depot
32,2014,184,depot
33,2014,184,depot
34,2014,184,depot
35,2014,184,depot
36,2014,184,depot
26,2014,185,"Maladie / AT"
27,2014,185,"Maladie / AT"
28,2014,185,"Maladie / AT"
29,2014,185,"Maladie / AT"
30,2014,185,"Maladie / AT"
31,2014,185,"Maladie / AT"
32,2014,185,"Maladie / AT"
33,2014,185,"Maladie / AT"
34,2014,185,"Maladie / AT"
35,2014,185,"Maladie / AT"
36,2014,185,"Maladie / AT"
26,2014,187,dépot
27,2014,187,dépot
28,2014,187,dépot
29,2014,187,dépot
30,2014,187,dépot
31,2014,187,dépot
32,2014,187,dépot
33,2014,187,dépot
34,2014,187,dépot
35,2014,187,dépot
36,2014,187,dépot
26,2014,188,cagnes
27,2014,188,cagnes
28,2014,188,cagnes
29,2014,188,cagnes
30,2014,188,cagnes
31,2014,188,cagnes
32,2014,188,cagnes
33,2014,188,cagnes
34,2014,188,cagnes
35,2014,188,cagnes
36,2014,188,cagnes
26,2014,197,"Maladie / AT"
27,2014,197,"Maladie / AT"
28,2014,197,"Maladie / AT"
29,2014,197,"Maladie / AT"
30,2014,197,"Maladie / AT"
31,2014,197,"Maladie / AT"
32,2014,197,"Maladie / AT"
33,2014,197,"Maladie / AT"
34,2014,197,"Maladie / AT"
35,2014,197,"Maladie / AT"
36,2014,197,"Maladie / AT"
26,2014,198,depot
27,2014,198,depot
28,2014,198,depot
29,2014,198,depot
30,2014,198,depot
31,2014,198,depot
32,2014,198,depot
33,2014,198,depot
34,2014,198,depot
35,2014,198,depot
36,2014,198,depot
